ticker,name
AED=X,USD/AED
AEDAUD=X,AED/AUD
AEDBHD=X,AED/BHD
AEDCAD=X,AED/CAD
AEDCHF=X,AED/CHF
AEDCNY=X,AED/CNY
AEDCZK=X,AED/CZK
AEDDKK=X,AED/DKK
AEDEGP=X,UAE Dirham (b) vs Egyptian Poun
AEDEUR=X,AED/EUR
AEDGBP=X,AED/GBP
AEDHKD=X,AED/HKD
AEDHUF=X,AED/HUF
AEDIDR=X,AED/IDR
AEDILS=X,AED/ILS
AEDINR=X,AED/INR
AEDIQD=X,AED/IQD
AEDISK=X,AED/ISK
AEDJOD=X,AED/JOD
AEDJPY=X,AED/JPY
AEDKES=X,AED/KES
AEDKRW=X,AED/KRW
AEDKWD=X,AED/KWD
AEDLKR=X,AED/LKR
AEDLTL=X,AED/LTL
AEDLVL=X,AED/LVL
AEDMAD=X,AED/MAD
AEDMUR=X,AED/MUR
AEDMXN=X,AED/MXN
AEDNOK=X,AED/NOK
AEDNZD=X,AED/NZD
AEDOMR=X,AED/OMR
AEDPHP=X,AED/PHP
AEDPKR=X,AED/PKR
AEDPLN=X,AED/PLN
AEDQAR=X,AED/QAR
AEDRUB=X,AED/RUB
AEDSAR=X,AED/SAR
AEDSEK=X,AED/SEK
AEDSGD=X,AED/SGD
AEDTHB=X,AED/THB
AEDTND=X,AED/TND
AEDTRY=X,AED/TRY
AEDTWD=X,AED/TWD
AEDUSD=X,AED/USD
AEDXDR=X,AED/XDR
AEDZAR=X,AED/ZAR
AFN=X,USD/AFN
AFNCHF=X,AFN/CHF
AFNEUR=X,AFN/EUR
AFNUSD=X,AFN/USD
ALL=X,USD/ALL
ALLCHF=X,ALL/CHF
ALLEUR=X,ALL/EUR
ALLGBP=X,ALL/GBP
ALLUSD=X,ALL/USD
AMD=X,USD/AMD
ANG=X,USD/ANG
ANGCAD=X,ANG/CAD
ANGCHF=X,ANG/CHF
ANGEUR=X,ANG/EUR
ANGGBP=X,ANG/GBP
ANGSRD=X,ANG/SRD
ANGUSD=X,ANG/USD
ANGZAR=X,ANG/ZAR
AOA=X,USD/AOA
AOACHF=X,AOA/CHF
AOAEUR=X,AOA/EUR
AOAGBP=X,AOA/GBP
AOAUSD=X,AOA/USD
ARS=X,USD/ARS
ARSAUD=X,ARS/AUD
ARSBOB=X,ARS/BOB
ARSBRL=X,ARS/BRL
ARSCAD=X,ARS/CAD
ARSCHF=X,ARS/CHF
ARSCLP=X,ARS/CLP
ARSCOP=X,ARS/COP
ARSDKK=X,ARS/DKK
ARSEUR=X,ARS/EUR
ARSGBP=X,ARS/GBP
ARSHKD=X,ARS/HKD
ARSJPY=X,ARS/JPY
ARSKRW=X,ARS/KRW
ARSMXN=X,ARS/MXN
ARSPEN=X,ARS/PEN
ARSPYG=X,ARS/PYG
ARSSGD=X,ARS/SGD
ARSTHB=X,ARS/THB
ARSUSD=X,ARS/USD
ARSUYU=X,ARS/UYU
ARSVEF=X,ARS/VEF
AUD=X,USD/AUD
AUDAED=X,AUD/AED
AUDANG=X,AUD/ANG
AUDARS=X,AUD/ARS
AUDAWG=X,AUD/AWG
AUDBAM=X,AUD/BAM
AUDBBD=X,AUD/BBD
AUDBHD=X,AUD/BHD
AUDBMD=X,AUD/BMD
AUDBOB=X,AUD/BOB
AUDBRL=X,AUD/BRL
AUDBSD=X,AUD/BSD
AUDBWP=X,AUD/BWP
AUDBZD=X,AUD/BZD
AUDCAD=X,AUD/CAD
AUDCHF=X,AUD/CHF
AUDCLP=X,AUD/CLP
AUDCNH=X,AUD/CNH
AUDCNY=X,AUD/CNY
AUDCOP=X,AUD/COP
AUDCRC=X,AUD/CRC
AUDCZK=X,AUD/CZK
AUDDKK=X,AUD/DKK
AUDDOP=X,AUD/DOP
AUDEGP=X,AUD/EGP
AUDERN=X,AUD/ERN
AUDEUR=X,AUD/EUR
AUDFJD=X,AUD/FJD
AUDGBP=X,AUD/GBP
AUDGHS=X,AUD/GHS
AUDGIP=X,AUD/GIP
AUDGTQ=X,AUD/GTQ
AUDHKD=X,AUD/HKD
AUDHNL=X,AUD/HNL
AUDHRK=X,AUD/HRK
AUDHUF=X,AUD/HUF
AUDIDR=X,AUD/IDR
AUDILS=X,AUD/ILS
AUDINR=X,AUD/INR
AUDISK=X,AUD/ISK
AUDJMD=X,AUD/JMD
AUDJOD=X,AUD/JOD
AUDJPY=X,AUD/JPY
AUDKES=X,AUD/KES
AUDKRW=X,AUD/KRW
AUDKWD=X,AUD/KWD
AUDKYD=X,AUD/KYD
AUDLKR=X,AUD/LKR
AUDLTL=X,AUD/LTL
AUDLVL=X,AUD/LVL
AUDMAD=X,AUD/MAD
AUDMGA=X,AUD/MGA
AUDMOP=X,AUD/MOP
AUDMUR=X,AUD/MUR
AUDMXN=X,AUD/MXN
AUDMYR=X,AUD/MYR
AUDNOK=X,AUD/NOK
AUDNZD=X,AUD/NZD
AUDOMR=X,AUD/OMR
AUDPEN=X,AUD/PEN
AUDPHP=X,AUD/PHP
AUDPKR=X,AUD/PKR
AUDPLN=X,AUD/PLN
AUDPYG=X,AUD/PYG
AUDQAR=X,AUD/QAR
AUDRON=X,AUD/RON
AUDRSD=X,AUD/RSD
AUDRUB=X,AUD/RUB
AUDSAR=X,AUD/SAR
AUDSCR=X,AUD/SCR
AUDSEK=X,AUD/SEK
AUDSGD=X,AUD/SGD
AUDSVC=X,AUD/SVC
AUDSYP=X,AUD/SYP
AUDTHB=X,AUD/THB
AUDTJS=X,AUD/TJS
AUDTMT=X,AUD/TMT
AUDTND=X,AUD/TND
AUDTRY=X,AUD/TRY
AUDTTD=X,AUD/TTD
AUDTWD=X,AUD/TWD
AUDUGX=X,AUD/UGX
AUDUSD=X,AUD/USD
AUDUYU=X,AUD/UYU
AUDVEF=X,AUD/VEF
AUDXCD=X,AUD/XCD
AUDXDR=X,AUD/XDR
AUDXPF=X,AUD/XPF
AUDZAR=X,AUD/ZAR
AWG=X,USD/AWG
AWGCHF=X,AWG/CHF
AWGEUR=X,AWG/EUR
AWGGBP=X,AWG/GBP
AWGUSD=X,AWG/USD
AZN=X,USD/AZN
AZNCHF=X,AZN/CHF
AZNEUR=X,AZN/EUR
AZNGBP=X,AZN/GBP
AZNUSD=X,AZN/USD
BAM=X,USD/BAM
BAMCHF=X,BAM/CHF
BAMEUR=X,BAM/EUR
BAMGBP=X,BAM/GBP
BAMUSD=X,BAM/USD
BBD=X,USD/BBD
BBDCHF=X,BBD/CHF
BBDDKK=X,BBD/DKK
BBDEUR=X,BBD/EUR
BBDGBP=X,BBD/GBP
BBDUSD=X,BBD/USD
BDT=X,USD/BDT
BDTCAD=X,BDT/CAD
BDTCHF=X,BDT/CHF
BDTEUR=X,BDT/EUR
BDTGBP=X,BDT/GBP
BDTHKD=X,BDT/HKD
BDTJPY=X,BDT/JPY
BDTSEK=X,BDT/SEK
BDTSGD=X,BDT/SGD
BDTUSD=X,BDT/USD
BGN=X,USD/BGN
BGNCHF=X,BGN/CHF
BGNCZK=X,BGN/CZK
BGNDKK=X,BGN/DKK
BGNEUR=X,BGN/EUR
BGNGBP=X,BGN/GBP
BGNLVL=X,BGN/LVL
BGNPLN=X,BGN/PLN
BGNTHB=X,BGN/THB
BGNTRY=X,BGN/TRY
BGNUSD=X,BGN/USD
BHD=X,USD/BHD
BHDAED=X,BHD/AED
BHDCHF=X,BHD/CHF
BHDDKK=X,BHD/DKK
BHDEUR=X,BHD/EUR
BHDGBP=X,BHD/GBP
BHDHKD=X,BHD/HKD
BHDJPY=X,BHD/JPY
BHDKWD=X,BHD/KWD
BHDNZD=X,BHD/NZD
BHDOMR=X,BHD/OMR
BHDPKR=X,BHD/PKR
BHDQAR=X,BHD/QAR
BHDSAR=X,BHD/SAR
BHDSGD=X,BHD/SGD
BHDUSD=X,BHD/USD
BHDXDR=X,BHD/XDR
BIF=X,USD/BIF
BMD=X,USD/BMD
BMDCHF=X,BMD/CHF
BMDDKK=X,BMD/DKK
BMDEUR=X,BMD/EUR
BMDGBP=X,BMD/GBP
BMDUSD=X,BMD/USD
BND=X,USD/BND
BNDCHF=X,BND/CHF
BNDDKK=X,BND/DKK
BNDEUR=X,BND/EUR
BNDGBP=X,BND/GBP
BNDIDR=X,BND/IDR
BNDUSD=X,BND/USD
BNDXDR=X,BND/XDR
BOB=X,USD/BOB
BOBARS=X,BOB/ARS
BOBBRL=X,BOB/BRL
BOBCHF=X,BOB/CHF
BOBCLP=X,BOB/CLP
BOBCOP=X,BOB/COP
BOBEUR=X,BOB/EUR
BOBGBP=X,BOB/GBP
BOBMXN=X,BOB/MXN
BOBPEN=X,BOB/PEN
BOBPYG=X,BOB/PYG
BOBUSD=X,BOB/USD
BOBUYU=X,BOB/UYU
BOBVEF=X,BOB/VEF
BRL=X,USD/BRL
BRLARS=X,BRL/ARS
BRLAUD=X,BRL/AUD
BRLBOB=X,BRL/BOB
BRLCAD=X,BRL/CAD
BRLCHF=X,BRL/CHF
BRLCLP=X,BRL/CLP
BRLCNY=X,BRL/CNY
BRLCOP=X,BRL/COP
BRLDKK=X,BRL/DKK
BRLEUR=X,BRL/EUR
BRLGBP=X,BRL/GBP
BRLHKD=X,BRL/HKD
BRLIDR=X,BRL/IDR
BRLILS=X,BRL/ILS
BRLINR=X,BRL/INR
BRLJPY=X,BRL/JPY
BRLKRW=X,BRL/KRW
BRLMXN=X,BRL/MXN
BRLMYR=X,BRL/MYR
BRLNOK=X,BRL/NOK
BRLNZD=X,BRL/NZD
BRLPEN=X,BRL/PEN
BRLPYG=X,BRL/PYG
BRLRUB=X,BRL/RUB
BRLSEK=X,BRL/SEK
BRLSGD=X,BRL/SGD
BRLTHB=X,BRL/THB
BRLTRY=X,BRL/TRY
BRLUSD=X,BRL/USD
BRLUYU=X,BRL/UYU
BRLVEF=X,BRL/VEF
BRLXDR=X,BRL/XDR
BRLZAR=X,BRL/ZAR
BSD=X,USD/BSD
BSDCAD=X,BSD/CAD
BSDCHF=X,BSD/CHF
BSDDKK=X,BSD/DKK
BSDEUR=X,BSD/EUR
BSDGBP=X,BSD/GBP
BSDUSD=X,BSD/USD
BTCUSD=X,Bitcoin USD
BTN=X,USD/BTN
BTNEUR=X,BTN/EUR
BTNGBP=X,BTN/GBP
BTNUSD=X,BTN/USD
BWP=X,USD/BWP
BWPAED=X,BWP/AED
BWPAFN=X,BWP/AFN
BWPANG=X,BWP/ANG
BWPARS=X,BWP/ARS
BWPAUD=X,BWP/AUD
BWPBDT=X,BWP/BDT
BWPBGN=X,BWP/BGN
BWPBHD=X,BWP/BHD
BWPBMD=X,BWP/BMD
BWPBRL=X,BWP/BRL
BWPCAD=X,BWP/CAD
BWPCHF=X,BWP/CHF
BWPCLF=X,BWP/CLF
BWPCLP=X,BWP/CLP
BWPCNH=X,BWP/CNH
BWPCNY=X,BWP/CNY
BWPCOP=X,BWP/COP
BWPCZK=X,BWP/CZK
BWPDKK=X,BWP/DKK
BWPEGP=X,BWP/EGP
BWPEUR=X,BWP/EUR
BWPFJD=X,BWP/FJD
BWPGBP=X,BWP/GBP
BWPGHS=X,BWP/GHS
BWPHKD=X,BWP/HKD
BWPHRK=X,BWP/HRK
BWPHUF=X,BWP/HUF
BWPIDR=X,BWP/IDR
BWPILS=X,BWP/ILS
BWPINR=X,BWP/INR
BWPISK=X,BWP/ISK
BWPJOD=X,BWP/JOD
BWPJPY=X,BWP/JPY
BWPKES=X,BWP/KES
BWPKRW=X,BWP/KRW
BWPKWD=X,BWP/KWD
BWPKYD=X,BWP/KYD
BWPKZT=X,BWP/KZT
BWPLKR=X,BWP/LKR
BWPMAD=X,BWP/MAD
BWPMOP=X,BWP/MOP
BWPMUR=X,BWP/MUR
BWPMWK=X,BWP/MWK
BWPMXN=X,BWP/MXN
BWPMYR=X,BWP/MYR
BWPNAD=X,BWP/NAD
BWPNGN=X,BWP/NGN
BWPNOK=X,BWP/NOK
BWPNZD=X,BWP/NZD
BWPOMR=X,BWP/OMR
BWPPEN=X,BWP/PEN
BWPPGK=X,BWP/PGK
BWPPHP=X,BWP/PHP
BWPPKR=X,BWP/PKR
BWPQAR=X,BWP/QAR
BWPRON=X,BWP/RON
BWPRSD=X,BWP/RSD
BWPRUB=X,BWP/RUB
BWPRWF=X,BWP/RWF
BWPSAR=X,BWP/SAR
BWPSBD=X,BWP/SBD
BWPSEK=X,BWP/SEK
BWPSGD=X,BWP/SGD
BWPTHB=X,BWP/THB
BWPTND=X,BWP/TND
BWPTOP=X,BWP/TOP
BWPTRY=X,BWP/TRY
BWPTWD=X,BWP/TWD
BWPTZS=X,BWP/TZS
BWPUGX=X,BWP/UGX
BWPUSD=X,BWP/USD
BWPVND=X,BWP/VND
BWPWST=X,BWP/WST
BWPXDR=X,BWP/XDR
BWPXOF=X,BWP/XOF
BWPZAR=X,BWP/ZAR
BWPZMW=X,BWP/ZMW
BWPZWL=X,BWP/ZWL
BYR=X,USD/BYR
BZD=X,USD/BZD
BZDCHF=X,BZD/CHF
BZDEUR=X,BZD/EUR
BZDGBP=X,BZD/GBP
BZDUSD=X,BZD/USD
CAD=X,USD/CAD
CADAED=X,CAD/AED
CADAFN=X,CAD/AFN
CADALL=X,CAD/ALL
CADAMD=X,CAD/AMD
CADANG=X,CAD/ANG
CADAOA=X,CAD/AOA
CADARS=X,CAD/ARS
CADAUD=X,CAD/AUD
CADAWG=X,CAD/AWG
CADAZN=X,CAD/AZN
CADBAM=X,CAD/BAM
CADBBD=X,CAD/BBD
CADBDT=X,CAD/BDT
CADBGN=X,CAD/BGN
CADBHD=X,CAD/BHD
CADBIF=X,CAD/BIF
CADBMD=X,CAD/BMD
CADBND=X,CAD/BND
CADBOB=X,CAD/BOB
CADBRL=X,CAD/BRL
CADBSD=X,CAD/BSD
CADBTN=X,CAD/BTN
CADBWP=X,CAD/BWP
CADBYR=X,CAD/BYR
CADBZD=X,CAD/BZD
CADCDF=X,CAD/CDF
CADCHF=X,CAD/CHF
CADCLP=X,CAD/CLP
CADCNH=X,CAD/CNH
CADCNY=X,CAD/CNY
CADCOP=X,CAD/COP
CADCRC=X,CAD/CRC
CADCUP=X,CAD/CUP
CADCVE=X,CAD/CVE
CADCZK=X,CAD/CZK
CADDJF=X,CAD/DJF
CADDKK=X,CAD/DKK
CADDOP=X,CAD/DOP
CADDZD=X,CAD/DZD
CADEGP=X,CAD/EGP
CADERN=X,CAD/ERN
CADETB=X,CAD/ETB
CADEUR=X,CAD/EUR
CADFJD=X,CAD/FJD
CADFKP=X,CAD/FKP
CADGBP=X,CAD/GBP
CADGEL=X,CAD/GEL
CADGHS=X,CAD/GHS
CADGIP=X,CAD/GIP
CADGMD=X,CAD/GMD
CADGNF=X,CAD/GNF
CADGTQ=X,CAD/GTQ
CADGYD=X,CAD/GYD
CADHKD=X,CAD/HKD
CADHNL=X,CAD/HNL
CADHRK=X,CAD/HRK
CADHTG=X,CAD/HTG
CADHUF=X,CAD/HUF
CADIDR=X,CAD/IDR
CADILS=X,CAD/ILS
CADINR=X,CAD/INR
CADIQD=X,CAD/IQD
CADIRR=X,CAD/IRR
CADISK=X,CAD/ISK
CADJMD=X,CAD/JMD
CADJOD=X,CAD/JOD
CADJPY=X,CAD/JPY
CADKES=X,CAD/KES
CADKGS=X,CAD/KGS
CADKHR=X,CAD/KHR
CADKMF=X,CAD/KMF
CADKPW=X,CAD/KPW
CADKRW=X,CAD/KRW
CADKWD=X,CAD/KWD
CADKYD=X,CAD/KYD
CADKZT=X,CAD/KZT
CADLAK=X,CAD/LAK
CADLBP=X,CAD/LBP
CADLKR=X,CAD/LKR
CADLRD=X,CAD/LRD
CADLSL=X,CAD/LSL
CADLTL=X,CAD/LTL
CADLVL=X,CAD/LVL
CADLYD=X,CAD/LYD
CADMAD=X,CAD/MAD
CADMDL=X,CAD/MDL
CADMGA=X,CAD/MGA
CADMKD=X,CAD/MKD
CADMMK=X,CAD/MMK
CADMNT=X,CAD/MNT
CADMOP=X,CAD/MOP
CADMRO=X,CAD/MRO
CADMUR=X,CAD/MUR
CADMVR=X,CAD/MVR
CADMWK=X,CAD/MWK
CADMXN=X,CAD/MXN
CADMYR=X,CAD/MYR
CADMZN=X,CAD/MZN
CADNAD=X,CAD/NAD
CADNGN=X,CAD/NGN
CADNIO=X,CAD/NIO
CADNOK=X,CAD/NOK
CADNPR=X,CAD/NPR
CADNZD=X,CAD/NZD
CADOMR=X,CAD/OMR
CADPAB=X,CAD/PAB
CADPEN=X,CAD/PEN
CADPGK=X,CAD/PGK
CADPHP=X,CAD/PHP
CADPKR=X,CAD/PKR
CADPLN=X,CAD/PLN
CADPYG=X,CAD/PYG
CADQAR=X,CAD/QAR
CADRON=X,CAD/RON
CADRSD=X,CAD/RSD
CADRUB=X,CAD/RUB
CADRWF=X,CAD/RWF
CADSAR=X,CAD/SAR
CADSBD=X,CAD/SBD
CADSCR=X,CAD/SCR
CADSDG=X,CAD/SDG
CADSEK=X,CAD/SEK
CADSGD=X,CAD/SGD
CADSHP=X,CAD/SHP
CADSLL=X,CAD/SLL
CADSOS=X,CAD/SOS
CADSRD=X,CAD/SRD
CADSTD=X,CAD/STD
CADSVC=X,CAD/SVC
CADSYP=X,CAD/SYP
CADSZL=X,CAD/SZL
CADTHB=X,CAD/THB
CADTJS=X,CAD/TJS
CADTMT=X,CAD/TMT
CADTND=X,CAD/TND
CADTOP=X,CAD/TOP
CADTRY=X,CAD/TRY
CADTTD=X,CAD/TTD
CADTWD=X,CAD/TWD
CADTZS=X,CAD/TZS
CADUAH=X,CAD/UAH
CADUGX=X,CAD/UGX
CADUSD=X,CAD/USD
CADUYU=X,CAD/UYU
CADUZS=X,CAD/UZS
CADVEF=X,CAD/VEF
CADVND=X,CAD/VND
CADVUV=X,CAD/VUV
CADWST=X,CAD/WST
CADXAF=X,CAD/XAF
CADXCD=X,CAD/XCD
CADXDR=X,CAD/XDR
CADXOF=X,CAD/XOF
CADXPF=X,CAD/XPF
CADYER=X,CAD/YER
CADZAR=X,CAD/ZAR
CADZMW=X,CAD/ZMW
CADZWL=X,CAD/ZWL
CDF=X,USD/CDF
CHF=X,USD/CHF
CHFAED=X,CHF/AED
CHFAFN=X,CHF/AFN
CHFALL=X,CHF/ALL
CHFAMD=X,CHF/AMD
CHFANG=X,CHF/ANG
CHFAOA=X,CHF/AOA
CHFARS=X,CHF/ARS
CHFAUD=X,CHF/AUD
CHFAWG=X,CHF/AWG
CHFAZN=X,CHF/AZN
CHFBAM=X,CHF/BAM
CHFBBD=X,CHF/BBD
CHFBDT=X,CHF/BDT
CHFBGN=X,CHF/BGN
CHFBHD=X,CHF/BHD
CHFBIF=X,CHF/BIF
CHFBMD=X,CHF/BMD
CHFBND=X,CHF/BND
CHFBOB=X,CHF/BOB
CHFBRL=X,CHF/BRL
CHFBSD=X,CHF/BSD
CHFBTN=X,CHF/BTN
CHFBWP=X,CHF/BWP
CHFBYR=X,CHF/BYR
CHFBZD=X,CHF/BZD
CHFCAD=X,CHF/CAD
CHFCDF=X,CHF/CDF
CHFCLP=X,CHF/CLP
CHFCNH=X,CHF/CNH
CHFCNY=X,CHF/CNY
CHFCOP=X,CHF/COP
CHFCRC=X,CHF/CRC
CHFCUP=X,CHF/CUP
CHFCVE=X,CHF/CVE
CHFCZK=X,CHF/CZK
CHFDEM=X,CHF/DEM
CHFDJF=X,CHF/DJF
CHFDKK=X,CHF/DKK
CHFDOP=X,CHF/DOP
CHFDZD=X,CHF/DZD
CHFEGP=X,CHF/EGP
CHFERN=X,CHF/ERN
CHFETB=X,CHF/ETB
CHFEUR=X,CHF/EUR
CHFFJD=X,CHF/FJD
CHFFKP=X,CHF/FKP
CHFGBP=X,CHF/GBP
CHFGEL=X,CHF/GEL
CHFGHS=X,CHF/GHS
CHFGIP=X,CHF/GIP
CHFGMD=X,CHF/GMD
CHFGNF=X,CHF/GNF
CHFGTQ=X,CHF/GTQ
CHFGYD=X,CHF/GYD
CHFHKD=X,CHF/HKD
CHFHNL=X,CHF/HNL
CHFHRK=X,CHF/HRK
CHFHTG=X,CHF/HTG
CHFHUF=X,CHF/HUF
CHFIDR=X,CHF/IDR
CHFILS=X,CHF/ILS
CHFINR=X,CHF/INR
CHFIQD=X,CHF/IQD
CHFIRR=X,CHF/IRR
CHFISK=X,CHF/ISK
CHFITL=X,CHF/ITL
CHFJMD=X,CHF/JMD
CHFJOD=X,CHF/JOD
CHFJPY=X,CHF/JPY
CHFKES=X,CHF/KES
CHFKGS=X,CHF/KGS
CHFKHR=X,CHF/KHR
CHFKMF=X,CHF/KMF
CHFKPW=X,CHF/KPW
CHFKRW=X,CHF/KRW
CHFKWD=X,CHF/KWD
CHFKYD=X,CHF/KYD
CHFKZT=X,CHF/KZT
CHFLAK=X,CHF/LAK
CHFLBP=X,CHF/LBP
CHFLKR=X,CHF/LKR
CHFLRD=X,CHF/LRD
CHFLSL=X,CHF/LSL
CHFLTL=X,CHF/LTL
CHFLVL=X,CHF/LVL
CHFLYD=X,CHF/LYD
CHFMAD=X,CHF/MAD
CHFMDL=X,CHF/MDL
CHFMGA=X,CHF/MGA
CHFMKD=X,CHF/MKD
CHFMMK=X,CHF/MMK
CHFMNT=X,CHF/MNT
CHFMOP=X,CHF/MOP
CHFMRO=X,CHF/MRO
CHFMUR=X,CHF/MUR
CHFMVR=X,CHF/MVR
CHFMWK=X,CHF/MWK
CHFMXN=X,CHF/MXN
CHFMYR=X,CHF/MYR
CHFMZN=X,CHF/MZN
CHFNAD=X,CHF/NAD
CHFNGN=X,CHF/NGN
CHFNIO=X,CHF/NIO
CHFNOK=X,CHF/NOK
CHFNPR=X,CHF/NPR
CHFNZD=X,CHF/NZD
CHFOMR=X,CHF/OMR
CHFPAB=X,CHF/PAB
CHFPEN=X,CHF/PEN
CHFPGK=X,CHF/PGK
CHFPHP=X,CHF/PHP
CHFPKR=X,CHF/PKR
CHFPLN=X,CHF/PLN
CHFPYG=X,CHF/PYG
CHFQAR=X,CHF/QAR
CHFRON=X,CHF/RON
CHFRSD=X,CHF/RSD
CHFRUB=X,CHF/RUB
CHFRWF=X,CHF/RWF
CHFSAR=X,CHF/SAR
CHFSBD=X,CHF/SBD
CHFSCR=X,CHF/SCR
CHFSDG=X,CHF/SDG
CHFSEK=X,CHF/SEK
CHFSGD=X,CHF/SGD
CHFSHP=X,CHF/SHP
CHFSLL=X,CHF/SLL
CHFSOS=X,CHF/SOS
CHFSRD=X,CHF/SRD
CHFSTD=X,CHF/STD
CHFSVC=X,CHF/SVC
CHFSYP=X,CHF/SYP
CHFSZL=X,CHF/SZL
CHFTHB=X,CHF/THB
CHFTJS=X,CHF/TJS
CHFTMT=X,CHF/TMT
CHFTND=X,CHF/TND
CHFTOP=X,CHF/TOP
CHFTRY=X,CHF/TRY
CHFTTD=X,CHF/TTD
CHFTWD=X,CHF/TWD
CHFTZS=X,CHF/TZS
CHFUAH=X,CHF/UAH
CHFUGX=X,CHF/UGX
CHFUSD=X,CHF/USD
CHFUYU=X,CHF/UYU
CHFUZS=X,CHF/UZS
CHFVEF=X,CHF/VEF
CHFVND=X,CHF/VND
CHFVUV=X,CHF/VUV
CHFWST=X,CHF/WST
CHFXAF=X,CHF/XAF
CHFXCD=X,CHF/XCD
CHFXDR=X,CHF/XDR
CHFXOF=X,CHF/XOF
CHFXPF=X,CHF/XPF
CHFYER=X,CHF/YER
CHFZAR=X,CHF/ZAR
CHFZMW=X,CHF/ZMW
CHFZWL=X,CHF/ZWL
CLF=X,USD/CLF
CLFCLP=X,CLF/CLP
